0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0.0,0.0,0.0,0.0417605,-0.265956,1.02176,0.3101405,-0.845128,1.54187,0.3101405,-4.70113,1.49715,0.3101405,-4.26116,-3.25787,0.3101415,-0.459378,-6.03966,0.3101405,-7.03696,-2.01092,0.3101415,-6.01573,6.01449,0.3101405,-7.04318,-5.98946,0.3101405,-11.4279,-1.0355,0.3101335,-10.9719,-6.02464,0.3101335,-14.5318,0.00693094,0.3101405,2.27424,0.0027254,0.3119705,0.514697,2.30002,0.3542995,0.512025,-2.33136,0.3471335,4.97883,-4.99817,0.3120015,4.97989,5.02929,0.3542895,2.03674,-6.95322,0.3121575,7.50018,-0.000507548,0.3295865,13.5358,2.93039,0.3121155,14.0029,-2.94891,0.3130855,14.2025,-2.79619,0.3546115,14.4913,1.5728,0.3296145,0.0
0.1,0.0,0.0,0.0417605,-0.265956,1.02176,0.26838,-0.845128,1.54187,0.26838,-4.70113,1.49715,0.26838,-4.26116,-3.25787,0.268381,-0.459378,-6.03966,0.26838,-7.03696,-2.01092,0.268381,-6.01573,6.01449,0.26838,-7.04318,-5.98946,0.26838,-11.4279,-1.0355,0.268373,-10.9719,-6.02464,0.268373,-14.5318,0.00693094,0.26838,2.27424,0.0027254,0.27021,0.514697,2.30002,0.312539,0.512025,-2.33136,0.305373,4.97883,-4.99817,0.270241,4.97989,5.02929,0.312529,2.03674,-6.95322,0.270397,7.50018,-0.000507548,0.287826,13.5358,2.93039,0.270355,14.0029,-2.94891,0.271325,14.2025,-2.79619,0.312851,14.4913,1.5728,0.287854,0.0
0.18,0.0,0.0,0.0417605,-0.265956,1.02176,0.2266195,-0.845128,1.54187,0.2266195,-4.70113,1.49715,0.2266195,-4.26116,-3.25787,0.2266205,-0.459378,-6.03966,0.2266195,-7.03696,-2.01092,0.2266205,-6.01573,6.01449,0.2266195,-7.04318,-5.98946,0.2266195,-11.4279,-1.0355,0.2266125,-10.9719,-6.02464,0.2266125,-14.5318,0.00693094,0.2266195,2.27424,0.0027254,0.2284495,0.514697,2.30002,0.2707785000000001,0.512025,-2.33136,0.2636125000000001,4.97883,-4.99817,0.2284805,4.97989,5.02929,0.2707685000000001,2.03674,-6.95322,0.2286365,7.50018,-0.000507548,0.2460655,13.5358,2.93039,0.2285945,14.0029,-2.94891,0.2295645,14.2025,-2.79619,0.2710905,14.4913,1.5728,0.2460935,0.0
0.26,0.0,0.0,0.0417605,-0.265956,1.02176,0.184859,-0.845128,1.54187,0.184859,-4.70113,1.49715,0.184859,-4.26116,-3.25787,0.18486,-0.459378,-6.03966,0.184859,-7.03696,-2.01092,0.18486,-6.01573,6.01449,0.184859,-7.04318,-5.98946,0.184859,-11.4279,-1.0355,0.184852,-10.9719,-6.02464,0.184852,-14.5318,0.00693094,0.184859,2.27424,0.0027254,0.186689,0.514697,2.30002,0.229018,0.512025,-2.33136,0.221852,4.97883,-4.99817,0.18672,4.97989,5.02929,0.229008,2.03674,-6.95322,0.186876,7.50018,-0.000507548,0.204305,13.5358,2.93039,0.186834,14.0029,-2.94891,0.187804,14.2025,-2.79619,0.22933,14.4913,1.5728,0.204333,0.0
0.34,0.0,0.0,0.0417605,-0.265956,1.02176,0.1430985,-0.845128,1.54187,0.1430985,-4.70113,1.49715,0.1430985,-4.26116,-3.25787,0.1430995,-0.459378,-6.03966,0.1430985,-7.03696,-2.01092,0.1430995,-6.01573,6.01449,0.1430985,-7.04318,-5.98946,0.1430985,-11.4279,-1.0355,0.1430915,-10.9719,-6.02464,0.1430915,-14.5318,0.00693094,0.1430985,2.27424,0.0027254,0.1449285,0.514697,2.30002,0.1872575,0.512025,-2.33136,0.1800915,4.97883,-4.99817,0.1449595,4.97989,5.02929,0.1872475,2.03674,-6.95322,0.1451155,7.50018,-0.000507548,0.1625445,13.5358,2.93039,0.1450735,14.0029,-2.94891,0.1460435,14.2025,-2.79619,0.1875695,14.4913,1.5728,0.1625725,0.0
0.42,0.0,0.0,0.0417605,-0.265956,1.02176,0.101338,-0.845128,1.54187,0.101338,-4.70113,1.49715,0.101338,-4.26116,-3.25787,0.101339,-0.459378,-6.03966,0.101338,-7.03696,-2.01092,0.101339,-6.01573,6.01449,0.101338,-7.04318,-5.98946,0.101338,-11.4279,-1.0355,0.101331,-10.9719,-6.02464,0.101331,-14.5318,0.00693094,0.101338,2.27424,0.0027254,0.103168,0.514697,2.30002,0.145497,0.512025,-2.33136,0.138331,4.97883,-4.99817,0.103199,4.97989,5.02929,0.145487,2.03674,-6.95322,0.103355,7.50018,-0.000507548,0.120784,13.5358,2.93039,0.103313,14.0029,-2.94891,0.104283,14.2025,-2.79619,0.145809,14.4913,1.5728,0.120812,0.0
0.5,0.0,0.0,0.0417605,-0.265956,1.02176,0.0595775,-0.845128,1.54187,0.0595775,-4.70113,1.49715,0.0595775,-4.26116,-3.25787,0.0595785,-0.459378,-6.03966,0.0595775,-7.03696,-2.01092,0.0595785,-6.01573,6.01449,0.0595775,-7.04318,-5.98946,0.0595775,-11.4279,-1.0355,0.0595705,-10.9719,-6.02464,0.0595705,-14.5318,0.00693094,0.0595775,2.27424,0.0027254,0.0614075,0.514697,2.30002,0.1037365,0.512025,-2.33136,0.0965705,4.97883,-4.99817,0.0614385,4.97989,5.02929,0.1037265,2.03674,-6.95322,0.0615945,7.50018,-0.000507548,0.0790235,13.5358,2.93039,0.0615525,14.0029,-2.94891,0.0625225,14.2025,-2.79619,0.1040485,14.4913,1.5728,0.0790515,0.0
0.58,0.0,0.0,0.0417605,-0.265956,1.02176,0.017817,-0.845128,1.54187,0.017817,-4.70113,1.49715,0.017817,-4.26116,-3.25787,0.017818,-0.459378,-6.03966,0.017817,-7.03696,-2.01092,0.017818,-6.01573,6.01449,0.017817,-7.04318,-5.98946,0.017817,-11.4279,-1.0355,0.01781,-10.9719,-6.02464,0.01781,-14.5318,0.00693094,0.017817,2.27424,0.0027254,0.019647,0.514697,2.30002,0.061976,0.512025,-2.33136,0.05481,4.97883,-4.99817,0.019678,4.97989,5.02929,0.061966,2.03674,-6.95322,0.019834,7.50018,-0.000507548,0.037263,13.5358,2.93039,0.019792,14.0029,-2.94891,0.020762,14.2025,-2.79619,0.062288,14.4913,1.5728,0.037291,0.0
0.66,0.0,0.0,0.0417605,-0.265956,1.02176,-0.0239434999999999,-0.845128,1.54187,-0.0239434999999999,-4.70113,1.49715,-0.0239434999999999,-4.26116,-3.25787,-0.0239424999999999,-0.459378,-6.03966,-0.0239434999999999,-7.03696,-2.01092,-0.0239424999999999,-6.01573,6.01449,-0.0239434999999999,-7.04318,-5.98946,-0.0239434999999999,-11.4279,-1.0355,-0.0239504999999999,-10.9719,-6.02464,-0.0239504999999999,-14.5318,0.00693094,-0.0239434999999999,2.27424,0.0027254,-0.0221134999999999,0.514697,2.30002,0.0202155,0.512025,-2.33136,0.0130495,4.97883,-4.99817,-0.0220824999999999,4.97989,5.02929,0.0202055,2.03674,-6.95322,-0.0219264999999999,7.50018,-0.000507548,-0.0044975,13.5358,2.93039,-0.0219684999999999,14.0029,-2.94891,-0.0209984999999999,14.2025,-2.79619,0.0205275,14.4913,1.5728,-0.0044694999999999,0.0
0.74,0.0,0.0,0.0417605,-0.265956,1.02176,-0.0657039999999999,-0.845128,1.54187,-0.0657039999999999,-4.70113,1.49715,-0.0657039999999999,-4.26116,-3.25787,-0.0657029999999999,-0.459378,-6.03966,-0.0657039999999999,-7.03696,-2.01092,-0.0657029999999999,-6.01573,6.01449,-0.0657039999999999,-7.04318,-5.98946,-0.0657039999999999,-11.4279,-1.0355,-0.0657109999999999,-10.9719,-6.02464,-0.0657109999999999,-14.5318,0.00693094,-0.0657039999999999,2.27424,0.0027254,-0.0638739999999999,0.514697,2.30002,-0.0215449999999999,0.512025,-2.33136,-0.0287109999999999,4.97883,-4.99817,-0.0638429999999999,4.97989,5.02929,-0.0215549999999999,2.03674,-6.95322,-0.0636869999999999,7.50018,-0.000507548,-0.046258,13.5358,2.93039,-0.0637289999999999,14.0029,-2.94891,-0.0627589999999999,14.2025,-2.79619,-0.0212329999999999,14.4913,1.5728,-0.0462299999999999,0.0
0.82,0.0,0.0,0.0417605,-0.265956,1.02176,-0.1074644999999999,-0.845128,1.54187,-0.1074644999999999,-4.70113,1.49715,-0.1074644999999999,-4.26116,-3.25787,-0.1074634999999999,-0.459378,-6.03966,-0.1074644999999999,-7.03696,-2.01092,-0.1074634999999999,-6.01573,6.01449,-0.1074644999999999,-7.04318,-5.98946,-0.1074644999999999,-11.4279,-1.0355,-0.1074715,-10.9719,-6.02464,-0.1074715,-14.5318,0.00693094,-0.1074644999999999,2.27424,0.0027254,-0.1056344999999999,0.514697,2.30002,-0.0633054999999999,0.512025,-2.33136,-0.0704714999999999,4.97883,-4.99817,-0.1056034999999999,4.97989,5.02929,-0.0633154999999999,2.03674,-6.95322,-0.1054474999999999,7.50018,-0.000507548,-0.0880185,13.5358,2.93039,-0.1054894999999999,14.0029,-2.94891,-0.1045194999999999,14.2025,-2.79619,-0.0629934999999999,14.4913,1.5728,-0.0879904999999999,0.0
